Date,HomeTeam,AwayTeam,home_points_avg,away_points_avg,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_games_history,away_games_history,home_home_points_avg,away_away_points_avg,home_home_goals_avg,away_away_goals_avg,home_home_conceded_avg,away_away_conceded_avg,home_home_wins,away_away_wins,home_home_games,away_away_games,FTR
2010-11-13,FC Koln,M'gladbach,0.6,0.4,1.6,1.4,2.4,2.8,1,0,0,2,4,3,5,5,1.4,0.8,1.4,2.0,1.6,3.6,2,1,5,5,A
2010-11-13,Mainz,Hannover,1.2,0.6,1.0,0.4,1.2,2.6,2,1,0,0,3,4,5,5,1.8,1.2,1.6,0.6,1.2,2.0,3,2,5,5,A
2010-11-14,Bayern Munich,Nurnberg,1.6,2.4,2.0,2.4,1.4,1.6,2,4,2,0,1,1,5,5,1.6,1.0,1.6,1.2,0.8,1.6,2,1,5,5,H
2010-11-14,Hoffenheim,Freiburg,1.4,1.8,2.2,1.8,1.8,1.8,2,3,1,0,2,2,5,5,2.4,1.2,2.8,1.4,1.0,1.8,4,2,5,5,A
2010-11-20,Schalke 04,Werder Bremen,1.2,1.4,1.4,1.6,1.0,2.2,1,2,3,1,1,2,5,5,1.0,1.0,1.6,1.4,1.6,2.6,1,1,5,5,H
2010-11-20,Nurnberg,Kaiserslautern,1.8,0.8,2.0,1.6,2.0,2.2,3,1,0,1,2,3,5,5,2.4,0.0,2.0,0.8,1.2,2.8,4,0,5,5,A
2010-11-20,M'gladbach,Mainz,0.8,0.6,2.0,0.2,2.6,1.0,1,1,1,0,3,4,5,5,0.4,2.4,1.2,1.8,2.8,1.0,0,4,5,5,A
2010-11-20,Leverkusen,Bayern Munich,2.4,2.2,1.6,2.6,0.8,1.0,4,3,0,2,1,0,5,5,1.6,1.0,1.4,1.0,1.0,1.6,2,1,5,5,D
2010-11-20,Freiburg,Dortmund,1.8,2.6,1.4,2.2,1.4,0.4,3,4,0,1,2,0,5,5,2.4,3.0,1.8,2.8,1.2,0.6,4,5,5,5,A
2010-11-20,Hannover,Hamburg,1.2,1.4,0.6,1.0,2.4,1.2,2,2,0,1,3,2,5,5,1.4,0.8,1.6,1.2,1.8,1.8,2,1,5,5,H
2010-11-20,Ein Frankfurt,Hoffenheim,2.2,1.4,1.8,1.8,0.4,1.2,3,2,2,1,0,2,5,5,1.4,0.6,1.2,1.4,1.0,2.0,2,0,5,5,A
2010-11-21,St Pauli,Wolfsburg,0.6,0.8,0.8,1.6,2.2,2.0,1,1,0,1,4,3,5,5,0.8,0.8,1.2,1.2,2.0,1.8,1,1,5,5,D
2010-11-21,Stuttgart,FC Koln,1.6,0.6,2.6,1.2,1.4,2.6,2,1,2,0,1,4,5,5,1.8,0.2,3.4,0.8,1.2,2.0,3,0,5,5,A
2010-11-26,Mainz,Nurnberg,1.2,1.8,0.8,1.8,1.2,2.0,2,3,0,0,3,2,5,5,1.2,0.8,1.2,1.0,1.2,2.0,2,1,5,5,H
2010-11-27,Bayern Munich,Ein Frankfurt,1.8,1.6,2.2,1.2,1.2,1.2,2,2,3,2,0,1,5,5,2.0,2.0,2.2,1.8,0.8,0.8,3,3,5,5,H
2010-11-27,Dortmund,M'gladbach,2.6,0.8,2.2,2.0,0.4,2.6,4,1,1,1,0,3,5,5,2.6,0.8,2.4,1.6,0.2,3.0,4,1,5,5,H
2010-11-27,Hannover,Freiburg,1.8,1.8,1.2,1.4,2.2,1.4,3,3,0,0,2,2,5,5,1.8,1.2,1.8,1.2,1.8,1.6,3,2,5,5,H
2010-11-27,Hoffenheim,Leverkusen,1.4,2.0,2.0,1.2,0.8,0.6,2,3,1,1,2,1,5,5,1.8,2.6,2.0,2.2,1.0,1.0,3,4,5,5,D
2010-11-27,Kaiserslautern,Schalke 04,1.4,1.6,2.2,1.8,1.8,0.6,2,2,1,2,2,1,5,5,1.0,1.0,1.6,1.0,1.8,1.4,1,1,5,5,H
2010-11-27,Hamburg,Stuttgart,0.8,1.4,1.2,2.2,1.8,1.2,1,2,1,1,3,2,5,5,1.6,0.4,1.2,1.4,1.2,2.2,2,0,5,5,H
2010-11-28,FC Koln,Wolfsburg,1.2,1.0,1.2,1.4,2.2,1.6,2,1,0,2,3,2,5,5,1.4,1.0,1.2,1.4,1.8,1.6,2,1,5,5,D
2010-11-28,Werder Bremen,St Pauli,0.8,0.2,1.2,0.4,2.8,2.0,1,0,1,1,3,4,5,5,1.4,1.2,1.4,0.6,1.6,1.4,2,2,5,5,H
2010-12-03,St Pauli,Kaiserslautern,0.2,2.0,0.4,3.0,2.2,1.4,0,3,1,1,4,1,5,5,0.8,0.6,1.2,1.2,2.0,2.6,1,1,5,5,H
2010-12-04,Wolfsburg,Werder Bremen,1.2,0.8,1.4,1.0,1.4,2.6,1,1,3,1,1,3,5,5,2.0,0.8,2.0,1.4,1.2,3.4,3,1,5,5,D
2010-12-04,Schalke 04,Bayern Munich,1.4,2.2,1.8,3.0,1.6,1.4,2,3,1,2,2,0,5,5,1.6,1.2,2.2,1.2,1.0,1.4,2,1,5,5,H
2010-12-04,Stuttgart,Hoffenheim,0.8,1.4,2.2,2.2,2.0,1.0,1,2,1,1,3,2,5,5,1.2,1.0,2.0,1.8,1.4,1.6,2,1,5,5,D
2010-12-04,M'gladbach,Hannover,0.8,1.8,2.0,1.4,2.6,2.0,1,3,1,0,3,2,5,5,0.4,1.2,1.6,0.4,2.6,1.8,0,2,5,5,A
2010-12-04,Ein Frankfurt,Mainz,1.4,1.2,1.4,1.2,2.0,1.2,2,2,1,0,2,3,5,5,1.4,2.4,1.0,1.6,1.2,0.8,2,4,5,5,H
2010-12-04,Freiburg,Hamburg,1.2,1.2,1.0,2.0,1.8,2.2,2,2,0,0,3,3,5,5,1.8,0.6,1.6,1.4,1.4,2.2,3,1,5,5,H
2010-12-05,Leverkusen,FC Koln,2.2,1.4,1.6,1.2,0.8,2.0,3,2,2,1,0,2,5,5,1.6,0.6,1.6,1.0,1.2,2.0,2,1,5,5,H
